@RELATION f1

@ATTRIBUTE position_prev_race NUMERIC
@ATTRIBUTE position_prev_year NUMERIC
@ATTRIBUTE position_qualy     NUMERIC
@ATTRIBUTE 'class' { IN, OUT}

@DATA
-1,-1,3,IN
-1,-1,4,IN
-1,-1,11,IN
-1,-1,5,IN
-1,-1,10,IN
-1,-1,7,IN
-1,-1,12,IN
-1,-1,6,IN
-1,-1,8,IN
-1,-1,16,IN
-1,-1,14,OUT
-1,-1,19,OUT
-1,-1,17,OUT
-1,-1,18,OUT
-1,-1,21,OUT
-1,-1,22,OUT
-1,-1,20,OUT
-1,-1,13,OUT
-1,-1,1,OUT
-1,-1,9,OUT
-1,-1,15,OUT
-1,-1,2,OUT
19,-1,1,IN
1,-1,3,IN
18,-1,2,IN
4,-1,4,IN
6,-1,7,IN
3,-1,10,IN
20,-1,13,IN
5,-1,15,IN
2,-1,8,IN
9,-1,11,IN
15,-1,16,OUT
7,-1,6,OUT
21,-1,20,OUT
17,-1,22,OUT
13,-1,21,OUT
22,-1,5,OUT
12,-1,12,OUT
11,-1,18,OUT
8,-1,9,OUT
14,-1,19,OUT
16,-1,17,OUT
10,-1,14,OUT
1,-1,2,IN
2,-1,1,IN
22,-1,5,IN
16,-1,3,IN
5,-1,12,IN
3,-1,11,IN
7,-1,8,IN
8,-1,4,IN
4,-1,10,IN
12,-1,6,IN
10,-1,13,OUT
11,-1,16,OUT
15,-1,22,OUT
21,-1,17,OUT
13,-1,19,OUT
20,-1,20,OUT
6,-1,7,OUT
9,-1,9,OUT
17,-1,15,OUT
14,-1,21,OUT
19,-1,14,OUT
18,-1,18,OUT
1,-1,1,IN
2,-1,4,IN
9,-1,5,IN
4,-1,2,IN
6,-1,3,IN
5,-1,8,IN
8,-1,7,IN
10,-1,11,IN
3,-1,16,IN
11,-1,13,IN
17,-1,12,OUT
21,-1,9,OUT
18,-1,15,OUT
14,-1,22,OUT
7,-1,6,OUT
19,-1,17,OUT
16,-1,19,OUT
15,-1,18,OUT
13,-1,21,OUT
20,-1,20,OUT
12,-1,10,OUT
22,-1,14,OUT
1,-1,1,IN
2,-1,2,IN
4,-1,3,IN
5,-1,10,IN
7,-1,4,IN
3,-1,7,IN
8,-1,6,IN
21,-1,5,IN
9,-1,12,IN
6,-1,11,IN
11,-1,8,OUT
13,-1,15,OUT
15,-1,9,OUT
10,-1,13,OUT
14,-1,22,OUT
16,-1,14,OUT
22,-1,17,OUT
17,-1,19,OUT
19,-1,18,OUT
20,-1,20,OUT
18,-1,21,OUT
12,-1,16,OUT
2,-1,1,IN
1,-1,2,IN
3,-1,3,IN
6,-1,5,IN
10,-1,11,IN
11,-1,12,IN
13,-1,16,IN
8,-1,14,IN
18,-1,19,IN
12,-1,8,IN
20,-1,22,OUT
7,-1,6,OUT
21,-1,21,OUT
19,-1,20,OUT
16,-1,17,OUT
5,-1,13,OUT
22,-1,7,OUT
17,-1,18,OUT
14,-1,9,OUT
4,-1,4,OUT
